Subsystem,Metric,Value
Dataset,Total_Documents,50
Dataset,Total_Transactions,15
Classification,Accuracy,76.00%
Classification,Macro_Precision,63.46%
Classification,Macro_Recall,75.00%
Classification,Macro_F1,67.50%
Field_Extraction,Accuracy,62.09%
Field_Extraction,Total_Expected,364
Field_Extraction,Correct,226
Field_Extraction,Missing,134
Field_Extraction,Incorrect,4
Transaction_Linking,Accuracy,60.00%
Transaction_Linking,Correct_Links,21
Transaction_Linking,Missed_Links,14
Transaction_Linking,False_Links,14
Discrepancy_Detection,Precision,23.81%
Discrepancy_Detection,Recall,38.46%
Discrepancy_Detection,F1_Score,29.41%
Reconciliation,Accuracy,86.67%
Evidence,Accuracy,100.00%
Summary,Failed_Cases_Count,27
